sample	sex_karyotype
S43F250	uncertain
S43F300	XX
S43F350	XX
S43F400	XX
S43F450	XX
S43F1000	XX
S43F5000	XX
S43F10000	XX
S43F100000	XX
S43F1000000	XX
S43M150	XY
S43M200	uncertain
S43M250	uncertain
S43M300	XY
S43M350	uncertain
S43M400	XY
S43M450	XY
S43M1000	XY
S43M5000	XY
S43M10000	XY
S43M100000	XY
S43M1000000	XY
S44F150	uncertain
S44F200	uncertain
S44F250	uncertain
S44F300	XX
S44F350	XX
S44F400	XX
S44F450	XX
S44F1000	XX
S44F5000	XX
S44F10000	XX
S44F100000	XX
S44F1000000	XX
S44M150	uncertain
S44M200	uncertain
S44M250	XY
S44M300	XY
S44M350	XY
S44M400	XY
S44M450	XY
S44M1000	XY
S44M5000	XY
S44M10000	XY
S44M100000	XY
S44M1000000	XY
S45F150	uncertain
S45F200	XX
S45F250	uncertain
S45F300	uncertain
S45F350	uncertain
S45F400	XX
S45F450	XX
S45F1000	XX
S45F5000	XX
S45F10000	XX
S45F100000	XX
S45F1000000	XX
S45M150	XY
S45M200	uncertain
S45M250	XY
S45M300	XY
S45M350	XY
S45M400	uncertain
S45M450	XY
S45M1000	XY
S45M5000	XY
S45M10000	XY
S45M100000	XY
S45M1000000	XY
S46F150	XX
S46F200	XX
S46F250	XX
S46F300	uncertain
S46F350	uncertain
S46F400	XX
S46F450	uncertain
S46F1000	XX
S46F5000	XX
S46F10000	XX
S46F100000	XX
S46F1000000	XX
S46M150	XY
S46M200	XY
S46M250	uncertain
S46M300	uncertain
S46M350	XY
S46M400	XY
S46M450	uncertain
S46M1000	XY
S46M5000	XY
S46M10000	XY
S46M100000	XY
S46M1000000	XY
S47F150	uncertain
S47F200	XX
S47F250	XX
S47F300	XX
S47F350	uncertain
S47F400	XX
S47F450	uncertain
S47F1000	XX
S47F5000	XX
S47F10000	XX
S47F100000	XX
S47F1000000	XX
S47M150	uncertain
S47M200	uncertain
S47M250	uncertain
S47M300	uncertain
S47M350	XY
S47M400	XY
S47M450	XY
S47M1000	XY
S47M5000	XY
S47M10000	XY
S47M100000	XY
S47M1000000	XY
S48F150	uncertain
S48F200	uncertain
S48F250	XX
S48F300	uncertain
S48F350	XX
S48F400	XX
S48F450	XX
S48F1000	XX
S48F5000	XX
S48F10000	XX
S48F100000	XX
S48F1000000	XX
S48M150	uncertain
S48M200	uncertain
S48M250	XY
S48M300	uncertain
S48M350	XY
S48M400	XY
S48M450	XY
S48M1000	XY
S48M5000	XY
S48M10000	XY
S48M100000	XY
S48M1000000	XY
S49F150	XX
S49F200	uncertain
S49F250	uncertain
S49F300	XX
S49F350	XX
S49F400	XX
S49F450	XX
S49F1000	XX
S49F5000	XX
S49F10000	XX
S49F100000	XX
S49F1000000	XX
S49M150	uncertain
S49M200	XY
S49M250	uncertain
S49M300	XY
S49M350	uncertain
S49M400	XY
S49M450	XY
S49M1000	XY
S49M5000	XY
S49M10000	XY
S49M100000	XY
S49M1000000	XY
S50F150	XX
S50F200	XX
S50F250	uncertain
S50F300	uncertain
S50F350	uncertain
S50F400	uncertain
S50F450	XX
S50F1000	XX
S50F5000	XX
S50F10000	XX
S50F100000	XX
S50F1000000	XX
S50M150	uncertain
S50M200	uncertain
S50M250	XY
S50M300	XY
S50M350	uncertain
S50M400	XY
S50M450	XY
S50M1000	XY
S50M5000	XY
S50M10000	XY
S50M100000	XY
S50M1000000	XY
S51F150	XX
S51F200	uncertain
S51F250	uncertain
S51F300	XX
S51F350	XX
S51F400	XX
S51F450	XX
S51F1000	XY
S51F5000	XX
S51F10000	XX
S51F100000	XX
S51F1000000	XX
S51M150	XY
S51M200	uncertain
S51M250	uncertain
S51M300	XY
S51M350	XY
S51M400	uncertain
S51M450	XY
S51M1000	XY
S51M5000	XY
S51M10000	XY
S51M100000	XY
S51M1000000	XY
S52F150	XX
S52F200	uncertain
S52F250	XX
S52F300	XX
S52F350	XX
S52F400	uncertain
S52F450	XX
S52F1000	XX
S52F5000	XX
S52F10000	XX
S52F100000	XX
S52F1000000	XX
S52M150	uncertain
S52M200	XY
S52M250	XY
S52M300	XY
S52M350	XY
S52M400	XY
S52M450	XY
S52M1000	XY
S52M5000	XY
S52M10000	XY
S52M100000	XY
S52M1000000	XY
S53F150	uncertain
S53F200	uncertain
S53F250	XX
S53F300	uncertain
S53F350	uncertain
S53F400	XX
S53F450	XX
S53F1000	XX
S53F5000	XX
S53F10000	XX
S53F100000	XX
S53F1000000	XX
S53M150	XY
S53M200	uncertain
S53M250	XY
S53M300	XY
S53M350	XY
S53M400	XY
S53M450	XY
S53M1000	XY
S53M5000	XY
S53M10000	XY
S53M100000	XY
S53M1000000	XY
S54F150	uncertain
S54F200	uncertain
S54F250	XX
S54F300	XX
S54F350	XX
S54F400	XX
S54F450	XX
S54F1000	XX
S54F5000	XX
S54F10000	XX
S54F100000	XX
S54F1000000	XX
S54M150	XY
S54M200	XY
S54M250	uncertain
S54M300	XY
S54M350	XY
S54M400	XY
S54M450	uncertain
S54M1000	XY
S54M5000	XY
S54M10000	XY
S54M100000	XY
S54M1000000	XY
S55F150	uncertain
S55F200	uncertain
S55F250	uncertain
S55F300	XX
S55F350	XX
S55F400	uncertain
S55F450	XX
S55F1000	XX
S55F5000	XX
S55F10000	XX
S55F100000	XX
S55F1000000	XX
S55M150	XY
S55M200	XY
S55M250	XY
S55M300	XY
S55M350	uncertain
S55M400	XY
